"childid","country","sex","enrolled","dropout","mother_edu","father_edu","ppvt_score","hhsize","region","typesite"
"IN010001","India",1,1,0,NA,-Inf,96,4,"21","1"
"IN010002","India",1,1,0,NA,-Inf,73,3,"21","1"
"IN010003","India",1,1,0,NA,-Inf,38,4,"21","1"
"IN010004","India",0,1,0,NA,-Inf,87,5,"21","2"
"IN010005","India",0,1,0,NA,-Inf,71,5,"21","1"
"IN010006","India",1,1,0,NA,-Inf,121,4,"23","1"
"IN010007","India",0,1,0,NA,-Inf,67,4,"21","1"
"IN010008","India",0,1,0,NA,-Inf,71,4,"21","2"
"IN010009","India",0,1,0,NA,-Inf,35,7,"21","1"
"IN010010","India",0,1,0,NA,-Inf,29,6,"21","1"
"IN010011","India",0,1,0,NA,-Inf,27,5,"21","1"
"IN010012","India",0,1,0,NA,-Inf,111,4,"21","1"
"IN010013","India",0,1,0,NA,-Inf,60,4,"21","1"
"IN010014","India",0,1,0,NA,-Inf,62,4,"21","1"
"IN010015","India",0,1,0,NA,-Inf,71,4,"21","1"
"IN010016","India",1,1,0,NA,-Inf,62,5,"21","1"
"IN010017","India",0,1,0,NA,-Inf,91,4,"21","1"
"IN010018","India",0,1,0,NA,-Inf,48,4,"21","1"
"IN010019","India",1,1,0,NA,-Inf,129,5,"21","1"
"IN010020","India",1,1,0,NA,-Inf,77,6,"21","1"
"IN010021","India",0,1,0,NA,-Inf,45,5,"21","1"
"IN010023","India",1,1,0,NA,-Inf,85,5,"21","1"
"IN010024","India",0,1,0,NA,-Inf,46,3,"21","1"
"IN010025","India",1,1,0,NA,-Inf,118,6,"21","1"
"IN010026","India",0,1,0,NA,-Inf,52,4,"21","1"
"IN010027","India",0,1,0,NA,-Inf,47,4,"21","1"
"IN010028","India",1,1,0,NA,-Inf,105,7,"21","1"
"IN010029","India",0,1,0,NA,-Inf,46,4,"21","1"
"IN010030","India",1,1,0,NA,-Inf,125,5,"21","1"
"IN010031","India",0,1,0,NA,-Inf,74,7,"21","1"
"IN010032","India",1,1,0,NA,-Inf,108,4,"21","1"
"IN010033","India",0,1,0,NA,-Inf,28,7,"21","1"
"IN010034","India",1,1,0,NA,-Inf,47,4,"21","1"
"IN010035","India",0,1,0,NA,-Inf,113,7,"21","1"
"IN010036","India",0,1,0,NA,-Inf,37,5,"21","1"
"IN010037","India",1,1,0,NA,-Inf,121,4,"21","1"
"IN010038","India",1,1,0,NA,-Inf,94,9,"21","1"
"IN010039","India",1,1,0,NA,-Inf,114,3,"21","1"
"IN010040","India",1,1,0,NA,-Inf,46,4,"21","1"
"IN010041","India",0,1,0,NA,-Inf,125,3,"21","1"
"IN010042","India",0,1,0,NA,-Inf,74,5,"21","1"
"IN010043","India",1,1,0,NA,-Inf,57,5,"21","1"
"IN010044","India",1,1,0,NA,3,133,4,"21","1"
"IN010045","India",1,1,0,NA,-Inf,46,3,"21","1"
"IN010046","India",0,1,0,NA,-Inf,36,4,"21","1"
"IN010047","India",1,1,0,NA,-Inf,64,3,"21","1"
"IN010048","India",1,1,0,NA,-Inf,132,4,"21","1"
"IN010049","India",0,1,0,NA,-Inf,63,6,"21","1"
"IN010050","India",0,1,0,NA,-Inf,74,4,"21","1"
"IN010051","India",0,1,0,NA,-Inf,94,8,"21","2"
"IN010052","India",0,1,0,NA,-Inf,105,4,"21","1"
"IN010053","India",0,1,0,NA,-Inf,39,4,"21","1"
